Date,Rate,Country
8/8/2017,101.23,Cambodia
8/8/2017,101.06,Lao PDR
8/8/2017,100.44,Myanmar
8/8/2017,99.75,Vietnam
8/8/2017,92.91,Thailand
8/9/2017,101.27,Cambodia
8/9/2017,101.1,Lao PDR
8/9/2017,100.51,Myanmar
8/9/2017,99.72,Vietnam
8/9/2017,92.85,Thailand
8/10/2017,101.19,Cambodia
8/10/2017,101.16,Lao PDR
8/10/2017,100.33,Myanmar
8/10/2017,99.75,Vietnam
8/10/2017,92.8,Thailand
8/11/2017,101.54,Cambodia
8/11/2017,101.07,Lao PDR
8/11/2017,100.26,Myanmar
8/11/2017,99.71,Vietnam
8/11/2017,92.69,Thailand
8/14/2017,101.51,Cambodia
8/14/2017,101.13,Lao PDR
8/14/2017,100.29,Myanmar
8/14/2017,99.71,Vietnam
8/14/2017,92.85,Thailand
8/15/2017,101.71,Cambodia
8/15/2017,101.11,Lao PDR
8/15/2017,100.29,Myanmar
8/15/2017,99.71,Vietnam
8/15/2017,92.99,Thailand
8/16/2017,101.68,Cambodia
8/16/2017,101.14,Lao PDR
8/16/2017,100.33,Myanmar
8/16/2017,99.71,Vietnam
8/16/2017,92.85,Thailand
8/17/2017,101.7,Cambodia
8/17/2017,101.14,Lao PDR
8/17/2017,100.48,Myanmar
8/17/2017,99.72,Vietnam
8/17/2017,92.83,Thailand
8/18/2017,101.7,Cambodia
8/18/2017,101.17,Lao PDR
8/18/2017,100.44,Myanmar
8/18/2017,99.72,Vietnam
8/18/2017,92.74,Thailand
8/21/2017,101.65,Cambodia
8/21/2017,101.23,Lao PDR
8/21/2017,100,Myanmar
8/21/2017,99.71,Vietnam
8/21/2017,92.8,Thailand
8/22/2017,101.57,Cambodia
8/22/2017,101.23,Lao PDR
8/22/2017,100,Myanmar
8/22/2017,99.72,Vietnam
8/22/2017,92.8,Thailand
8/23/2017,101.49,Cambodia
8/23/2017,101.27,Lao PDR
8/23/2017,100.26,Myanmar
8/23/2017,99.75,Vietnam
8/23/2017,93.05,Thailand
8/24/2017,101.35,Cambodia
8/24/2017,101.27,Lao PDR
8/24/2017,99.56,Myanmar
8/24/2017,99.76,Vietnam
8/24/2017,93.05,Thailand
8/25/2017,101.3,Cambodia
8/25/2017,101.3,Lao PDR
8/25/2017,100.26,Myanmar
8/25/2017,99.73,Vietnam
8/25/2017,92.8,Thailand
8/28/2017,101.04,Cambodia
8/28/2017,101.15,Lao PDR
8/28/2017,100.18,Myanmar
8/28/2017,99.75,Vietnam
8/28/2017,92.66,Thailand
8/29/2017,101.18,Cambodia
8/29/2017,101.34,Lao PDR
8/29/2017,99.34,Myanmar
8/29/2017,99.76,Vietnam
8/29/2017,92.66,Thailand
8/30/2017,101.18,Cambodia
8/30/2017,101.18,Lao PDR
8/30/2017,100.22,Myanmar
8/30/2017,99.73,Vietnam
8/30/2017,92.71,Thailand
8/31/2017,101.05,Cambodia
8/31/2017,101.19,Lao PDR
8/31/2017,100.04,Myanmar
8/31/2017,99.71,Vietnam
8/31/2017,92.63,Thailand
9/1/2017,100.08,Cambodia
9/1/2017,101.38,Lao PDR
9/1/2017,100.15,Myanmar
9/1/2017,99.72,Vietnam
9/1/2017,92.57,Thailand
9/4/2017,100.05,Cambodia
